02/07/2023 10:08:29 --> Console Commands (Y/N) ?
02/07/2023 22:37:56 --> Line 0 of config.cfg is empty, ignoring it...
02/07/2023 22:37:57 --> Line 1 of config.cfg is empty, ignoring it...
02/07/2023 22:37:57 --> Line 2 of config.cfg is empty, ignoring it...
02/07/2023 22:37:57 --> Line 3 of config.cfg is empty, ignoring it...
02/07/2023 22:38:48 --> Line 0 of config.cfg is empty, ignoring it...
02/07/2023 22:38:48 --> Line 1 of config.cfg is empty, ignoring it...
02/07/2023 22:38:48 --> Line 2 of config.cfg is empty, ignoring it...
02/07/2023 22:38:48 --> Line 3 of config.cfg is empty, ignoring it...
02/07/2023 22:40:08 --> mainLog = latest.log
02/07/2023 22:40:08 --> Line 0 of config.cfg is empty, ignoring it...
02/07/2023 22:40:08 --> Line 1 of config.cfg is empty, ignoring it...
02/07/2023 22:40:08 --> Line 2 of config.cfg is empty, ignoring it...
02/07/2023 22:40:08 --> Line 3 of config.cfg is empty, ignoring it...
